"ADM2_CODE";"ADM2_NAME";"ADM1_CODE";"ADM1_NAME";"pop_total";"Aguna";"Aja";"Akan";"Anii";"Arabic";"Ayizo_Gbe";"Baatonum";"Bambara";"Biali";"Boko";"Boo";"Borgu_Fulfulde";"Bozo";"Contimba";"Defi_Gbe";"Dendi";"Ditammari";"Dyula";"Ede_Cabe";"Ede_Idaca";"Ede_Ije";"English";"Ewe";"Fon";"French";"Gagamba";"Gando";"Gen";"Gorgal_Fulfulde";"Gourmanchéma";"Gun";"Hausa";"Ifè";"Igbo";"Kabiye";"Kotafon_Gbe";"Kotokoli";"Lekpa";"Lingala";"Maxi_Gbe";"Mbelime";"Mioybe";"Mobaa";"Mokole";"Mossi";"Nateni";"Northern_Nago";"Partago";"Saxwe_Gbe";"Senufo";"Seto_Gbe";"Songhay";"Soninke";"Southern_Nago";"Taneka";"Tem";"Tofin_Gbe";"Toli_Gbe";"Waama";"Waci_Gbe";"Weme_Gbe";"Western_Xwla_Gbe";"Wolof";"Xwela_Gbe";"Yoabu";"Yom";"Yoruba";"Zarma";"Other"
"BJ0604";"Klouekanme";"BJ06";"Couffo";128770;0;107717;0;0;0;353;0;0;0;0;0;221;0;0;0;0;0;0;0;0;0;0;0;18170;122;0;0;376;0;0;342;122;0;0;0;155;0;0;0;155;0;0;0;0;0;0;0;0;122;0;0;0;0;0;0;0;243;0;0;88;0;0;0;110;0;0;144;0;331
"BJ0605";"Lalo";"BJ06";"Couffo";121410;0;80936;0;0;0;109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35447;0;0;0;76;0;0;131;0;0;0;0;2120;0;0;0;0;0;0;0;0;0;0;0;0;229;0;0;0;0;0;0;0;0;0;0;2032;0;0;0;0;0;0;186;0;142
"BJ0606";"Toviklin";"BJ06";"Couffo";87350;0;86509;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;338;0;0;0;142;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;197
"BJ0701";"Bassila";"BJ07";"Donga";131590;0;1070;0;23671;0;0;694;0;489;0;0;30419;0;0;740;546;3938;0;0;171;0;0;80;762;501;0;0;148;956;353;0;307;0;0;3596;0;330;12689;0;0;228;0;0;0;0;0;0;4222;0;0;0;0;0;28667;0;13565;0;0;0;114;0;0;0;0;0;2697;159;125;353
"BJ0702";"Djougou";"BJ07";"Donga";270360;0;444;0;544;0;0;6593;0;0;0;0;35127;0;0;477;61996;15937;0;0;355;0;0;255;2752;733;0;0;300;289;277;300;289;0;0;1165;0;277;41686;0;178;0;666;0;0;0;322;0;966;0;0;0;0;0;1432;1176;1920;0;0;377;0;0;0;0;0;189;90697;932;843;866
"BJ0703";"Contonou";"BJ07";"Littoral";683970;0;15220;0;2646;922;8258;3448;395;406;0;0;2646;0;0;461;12332;0;406;0;3119;0;5073;1043;293058;38489;0;0;46868;1329;0;105464;8027;406;5205;3909;2690;1977;1252;406;4711;0;0;0;0;0;0;0;0;3942;571;461;0;428;17131;0;3382;9257;1790;0;1482;1988;21743;0;5326;0;868;31000;9455;4975
"BJ0704";"Ouake";"BJ07";"Donga";74440;0;120;0;0;0;0;55;0;120;0;0;9904;0;0;15997;0;0;0;0;175;0;0;0;491;175;0;0;76;66;0;66;0;0;0;4958;0;0;40545;0;76;0;120;0;0;0;0;0;513;0;0;0;0;0;0;0;306;0;0;229;0;0;0;0;0;0;131;76;55;186
"BJ0800";"Copargo";"BJ08";"Donga";71400;0;99;0;0;0;0;165;0;0;0;0;5672;0;0;0;2929;845;0;0;0;0;0;0;77;263;0;0;0;1536;0;0;746;0;44;472;0;0;5080;0;0;0;6100;0;0;0;55;0;0;0;0;0;0;0;44;351;0;0;44;77;0;0;0;0;0;0;46528;0;44;230
"BJ0901";"Athieme";"BJ09";"Mono";56980;0;12172;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;33;1150;33;0;0;2432;44;0;153;0;0;0;0;32648;0;0;0;0;0;0;0;0;0;0;0;0;1775;0;0;0;0;0;0;0;0;0;0;6376;44;0;0;0;0;0;0;0;88
"BJ0902";"Bopa";"BJ09";"Mono";98900;0;501;0;0;0;5629;0;0;0;65;0;0;0;0;0;0;0;0;0;0;0;0;54;860;0;0;0;904;0;0;305;0;0;0;0;4159;0;0;0;0;0;0;0;0;0;0;0;0;84311;0;0;0;0;87;0;0;0;0;0;185;0;131;0;1513;0;0;0;0;196
"BJ0903";"Come";"BJ09";"Mono";80660;0;2560;0;0;0;66;77;0;0;0;0;88;0;0;0;0;0;0;0;0;0;0;44;4142;352;0;0;8262;55;0;1604;165;0;66;0;1923;0;0;0;88;0;0;0;0;0;0;0;0;13304;0;0;0;0;143;0;0;0;0;0;24312;0;758;0;22379;0;0;0;132;143
"BJ0904";"Grand-Popo";"BJ09";"Mono";58910;0;859;132;0;0;628;77;0;0;0;0;914;0;0;0;132;0;0;0;0;0;0;859;1245;529;0;0;18561;55;0;308;341;0;0;165;7876;0;0;0;55;0;0;0;0;66;0;0;0;903;0;0;0;0;154;0;0;33;0;0;10498;99;12337;0;1663;0;0;33;308;77
"BJ0905";"Houeyogbe";"BJ09";"Mono";102780;0;1726;0;0;0;0;0;0;0;109;0;76;0;0;0;55;0;0;0;0;0;0;0;1234;66;0;0;1245;0;0;55;76;0;0;0;3134;0;0;0;0;0;0;0;0;0;0;0;0;94130;0;0;0;0;0;0;0;0;0;0;262;0;0;0;240;0;0;0;66;306
